Fecha,Tmax,Tmin,PP
2022-01-01,18.8,11.2,9.7
2022-01-02,19.2,10.0,0.4
2022-01-03,18.3,9.8,13.9
2022-01-04,19.2,10.4,0.1
2022-01-05,20.2,7.8,0.0
2022-01-06,20.2,8.8,0.0
2022-01-07,16.2,9.2,12.4
2022-01-08,19.1,9.2,17.1
2022-01-09,18.8,9.1,0.1
2022-01-10,16.6,9.4,0.0
2022-01-11,15.9,8.7,0.0
2022-01-12,19.0,7.7,0.0
2022-01-13,20.2,7.7,4.0
2022-01-14,19.4,8.1,0.5
2022-01-15,16.6,8.7,5.2
2022-01-16,15.2,9.5,2.0
2022-01-17,16.2,7.9,5.7
2022-01-18,20.7,8.4,0.0
2022-01-19,18,9.2,0.0
2022-01-20,18.7,9.2,2.4
2022-01-21,17.3,9.6,22.3
2022-01-22,15.9,11.3,0.4
2022-01-23,18.1,10.1,0.2
2022-01-24,19.7,11,2.9
2022-01-25,18.1,11.2,33.5
2022-01-26,16.3,11.3,20.2
2022-01-27,13.4,9.8,0.3
2022-01-28,19.4,9.5,0.8
2022-01-29,17.2,7.7,0.0
2022-01-30,16.5,7.5,0.0
2022-01-31,16.0,6.8,0.0
2022-02-01,18.0,4.4,0.0
2022-02-02,19.6,5.3,0.0
2022-02-03,17.9,9.7,0.0
2022-02-04,18.5,9.8,3.7
2022-02-05,16.0,10,0.0
2022-02-06,19.8,9.9,8.2
2022-02-07,19.0,9.4,27.7
2022-02-08,16.0,10.2,26.7
2022-02-09,15.4,10.7,50.9
2022-02-10,14.7,10.6,4.9
2022-02-11,15.6,10.3,0.8
2022-02-12,18.1,10.4,30.1
2022-02-13,17.9,11.0,3.4
2022-02-14,15.0,10.2,4.9
2022-02-15,16.0,10.7,2.1
2022-02-16,17.9,11.1,4.9
2022-02-17,14.9,10.0,0.1
2022-02-18,15.0,10.6,31.5
2022-02-19,18.7,8.8,0.0
2022-02-20,17.8,7.6,0.0
2022-02-21,18.4,8.1,0.0
2022-02-22,17.6,8.7,16.8
2022-02-23,14.9,9.7,4.5
2022-02-24,15.5,10.6,10.3
2022-02-25,15.3,10.8,15.7
2022-02-26,16.0,10.9,14.5
2022-02-27,17.9,10.9,17.9
2022-02-28,14.5,8.6,8.9
2022-03-01,16.0,8.9,39.2
2022-03-02,16.9,10.5,100.7
2022-03-03,16.9,8.7,29.7
2022-03-04,18.9,9.1,43.3
2022-03-05,18.2,9.9,13.4
2022-03-06,13.9,10.1,0.2
2022-03-07,16.2,7.5,0.0
2022-03-08,17.8,6.9,10.6
2022-03-09,16.2,7.8,4.5
2022-03-10,16.5,8.2,0.0
2022-03-11,19.9,8.1,0.0
2022-03-12,20.5,8.4,14.4
2022-03-13,14.5,8.9,4.6
2022-03-14,16.3,10.0,15.2
2022-03-15,14.2,7.8,8.3
2022-03-16,17.5,9.0,15.1
2022-03-17,19.2,7.5,6.9
2022-03-18,19.2,8.2,8.1
2022-03-19,20.1,10.1,19.0
2022-03-20,18.1,10.4,0.2
2022-03-21,17.4,11.2,37.4
2022-03-22,13.8,10.0,4.1
2022-03-23,16.1,9.8,28.4
2022-03-24,16.4,10.6,14.5
2022-03-25,16.6,9.7,7.6
2022-03-26,17.0,11.2,34.5
2022-03-27,16.2,10.0,19.4
2022-03-28,16.2,10.8,10.9
2022-03-29,16.0,11.2,15.8
2022-03-30,17.2,10.6,7.0
2022-03-31,16.8,10.9,26.7
2022-04-01,16.4,10.6,1.1
2022-04-02,17.2,10.6,0.3
2022-04-03,17.9,10.9,1.3
2022-04-04,15.4,11.0,3.6
2022-04-05,17.4,8.7,0.1
2022-04-06,19.9,9.9,6.4
2022-04-07,17.8,10.7,0.4
2022-04-08,16.0,10.5,3.9
2022-04-09,17.4,10.1,0.2
2022-04-10,16.7,11.0,6.3
2022-04-11,15.3,11.5,10.9
2022-04-12,16.9,11.6,1.3
2022-04-13,17.1,10.0,0.5
2022-04-14,18.5,11.1,0.4
2022-04-15,19.0,10.4,0.0
2022-04-16,19.1,9.5,0.0
2022-04-17,18.4,9.6,0.0
2022-04-18,17.7,10.0,1.8
2022-04-19,17.0,11.4,7.3
2022-04-20,15.8,9.0,11.4
2022-04-21,14.8,9.9,6.9
2022-04-22,13.5,10.2,8.2
2022-04-23,16.8,9.7,0.4
2022-04-24,19.0,8.3,4.9
2022-04-25,17.1,10.0,0.4
2022-04-26,15.6,8.4,0.0
2022-04-27,19.7,10.4,0.4
2022-04-28,19.2,11.0,0.7
2022-04-29,17.5,9.6,0.2
2022-04-30,19.6,9.3,0.0
2022-05-01,17.8,8.6,0.0
2022-05-02,20.0,8.9,0.0
2022-05-03,20.1,9.4,0.0
2022-05-04,18.9,11.2,21.1
2022-05-05,17.6,11.2,3.8
2022-05-06,15.8,8.4,0.1
2022-05-07,19.6,9.8,0.0
2022-05-08,18.9,9.6,0.0
2022-05-09,19.2,8.8,0.0
2022-05-10,18.7,9.2,4.0
2022-05-11,17.1,9.8,14.2
2022-05-12,17.0,11.5,13.5
2022-05-13,16.6,10.7,1.5
2022-05-14,18.1,9.1,10.9
2022-05-15,17.0,10.1,10.2
2022-05-16,15.2,11.5,11.5
2022-05-17,15.5,10.0,0.4
2022-05-18,16.0,10.2,0.9
2022-05-19,15.6,10.4,2.1
2022-05-20,16.9,10.6,0.0
2022-05-21,19.0,7.4,0.0
2022-05-22,20.4,8.1,0.0
2022-05-23,19.6,7.8,0.0
2022-05-24,18.4,7.6,0.0
2022-05-25,20.9,9.1,0.0
2022-05-26,18.1,11.0,0.6
2022-05-27,16.3,10.1,4.0
2022-05-28,16.3,9.4,0.0
2022-05-29,17.1,9.4,0.0
